fold,accuracy,macro_f1,weighted_f1,auc_ovr_macro
1,0.805,0.7877800351954188,0.7877800351954188,0.9599552083333335
2,0.7275,0.6887443748081091,0.6887443748081091,0.9401468749999999
3,0.6725,0.5883341844055495,0.5883341844055495,0.8924520833333333
4,0.6708333333333333,0.5880078570217341,0.5880078570217342,0.9213343750000001
5,0.8116666666666666,0.8024203953123629,0.8024203953123629,0.9600677083333334
6,0.7575,0.7305969749130727,0.7305969749130726,0.9498041666666666
7,0.6516666666666666,0.5574344219596576,0.5574344219596576,0.9196979166666667
8,0.8258333333333333,0.8188175783235274,0.8188175783235274,0.965928125
9,0.7541666666666667,0.7269509477002217,0.7269509477002216,0.9451822916666667
10,0.7108333333333333,0.6533177204983387,0.6533177204983387,0.9345791666666666
